Date,Mileage,Service,Parts Replaced,Parts Serviced
5/29/2023,246000,Suspension,"Rear Springs (Ironman 4x4) 2""",
4/17/2023,0,Paint,Paint Correction (Large),
3/30/2023,244320,Replace Muffler,"Street Max Muffler, 2 1/2 Inch Aluminized Exhaust Pipe, J Hook",Exhaust
9/7/2022,244126,Timing Belt,"Air Filter, Timing Belt, Water Pump, Serpentine Belt & Tensioner, Oil Change",Oil Change
7/25/2022,243396,Brakes,Rear Brake Pads,Brakes
7/11/2022,243004,Engine,Block Assembly (Engine Room),Electrical
4/12/2023,244831,Tire Replacement,K02 (4) (Lifetime tire maintenance),Tires
3/13/2022,239055,Suspension and Electrical,"Spiral Cable Assembly, Front Shocks and Mounts, Oil Chage",Oil Change
11/23/2021,235430,Routine Service,Oil Change,Oil Change
8/3/2021,233163,Brakes,Front Brake Pads and Calipers,Brakes
7/9/2021,232435,Routine Service,Oil Change,Oil Change
1/27/2021,227742,Routine Service,"Spark Plugs, ATF, Lube Guard Platinum, Fuel Filter, Gear Oil, Bushing, Spacer, Sway Bar Links",Lube
1/15/2020,0,Special,"Light Bar added (Currently Removed), Switch",Electrical
2/26/2021,228398,Wheel and Hubs,"Front Brake Rotor, Right Front CV Axle, Wheel Speed Sensor, Front Inner and Outer Wheel Bearing and Race, Front Wheel Seal, Wheel Stud",Hubs
1/27/2021,227185,Routine Service,Oil Change,Oil Change
9/9/2020,221042,Brakes,Front Pads and Rotors,Brakes
9/2/2020,224042,AC,"AC Line, Refrigerant, Dye",AC
7/28/2020,0,Routine Service,"Oil Change, Air Filter",Oil Change
2/20/2020,219757,Routine Service,Oil Change,Oil Change
2/18/2020,0,Tire Balance,N/A,Tires
1/9/2020,216650,Routine Service,Oil Change,Oil Change
11/14/2019,213351,Routine Service,"Oil Change, Air Filter",Oil Change
12/5/2019,0,Windows,"Windshield NAGS Bronze (Top Shaded), RT LT Windshield trim #1 #2",Windows
12/3/2019,213964,Tire Balance,N/A,Tires
6/24/2019,209576,Routine Service,Oil Change,Oil Change
4/18/2019,207655,Brakes,"Rear Brake Pads, Rear Brake Rotors",Brakes
4/3/2019,207400,Tire Balance,N/A,Tires
1/31/2019,204406,Engine,Valve Cover Gaskets,Gaskets
1/23/2019,0,Routine Service,"Oil Change, Air Fuel Ratio Sensor","Oil Change, Sensor"
11/15/2018,201421,Tire Balance,N/A,Tires
10/16/2018,200879,Routine Service,"Oil Change, Air Filter",Oil Change
8/8/2018,199348,AC,"AC Refrigerant Leak, Refrigerant",AC
5/26/2018,196226,Brakes,Front Brake Pads and Calipers,Brakes
5/17/2018,195890,AC,"Oil Change, Refrigerant, Dye, Air Filter","AC, Oil Change"
12/21/2017,0,Routine Service,Serpentine Belt,Routine
12/14/2017,0,Routine Service,Oil Change,
11/8/2017,190514,Tire Balance,N/A,
4/26/2017,187596,Routine Service,Oil Change,
1/19/2017,0,Windows,RT LT Windshield Trim Outside #2,
1/4/2017,183845,Cooling,"Radiator Cap, Flushed Washer Lines",
12/27/2016,183659,Routine Service,"Oil Change, Coolant Leak Detected",
11/16/2016,0,Special,Brush Guard (Removed),
7/28/2016,179074,Routine Service,"Oil Change, Coolant with Rear Heater, Rear Differential Service, Repack Front Wheel Bearings",
4/4/2016,175155,AC,"Oil Change, Freon Recharge, Leak Detection Dye",
4/25/2016,175618,AC,AC Leak Detected (Not found),
1/21/2016,171935,Windows,RR Window Motor Replacement,
1/14/2016,171569,Brakes,"Rear Brake Pads, Rear Brake Rotors",
11/10/2015,168104,Routine Service,"Wiper Blades, Front Headlight Bulbs",
10/8/2015,166628,Routine Service,"Brake Light Bulb, Tire Rotation, Oil Change",
5/28/2015,162569,AC,"Leak Detected at Front Evap, Evaporator Sub Assembly, Tube, Expansion Valve, Refrigerant",
5/1/2015,161482,Routine Service,"Oil Change, Wipers",
2/13/2015,157482,Routine Service,Oil Change,
10/29/2014,153742,Routine Service,"Oil Change, Flush Cooling & ATF & Power Steering, PCV Valve, Wiper Blades, Wheel Bearing Repack, Accessory Belt",
6/19/2014,148387,AC,"Refrigerant, LF CV Boot",
6/17/2014,148306,Routine Service,"Oil Change, Air Filter, Tire Rotation",
2/24/2014,144254,Engine,"CEL #P0135, Oxygen Sensor",
2/5/2014,143444,Routine Service,Oil Change,
11/18/2013,139734,Routine Service,"Oil Change, Wipers",
7/2/2013,134964,Routine Service,Oil Change,
2/19/2013,130275,Routine Service,"Oil Change, Wipers",
10/4/2012,125328,Routine Service,Oil Change,
6/4/2012,120588,Routine Service,"Air Filter, Flush ATF & Coolant & Power Steering, PCV Valve, Rotate Tires, Oil Change, F R Brake Pads, F Brake Rotors Resurfaced, R Brake Rotors Replaced",
2/14/2012,120000,Routine Service,"Air Filter, Flush ATF & Coolant, PCV Valve, Rotate Tires",
2/14/2012,116364,Routine Service,"Oil Change, Wipers",
9/13/2011,110986,Routine Service,RF Inner CV Shaft Boot,
9/7/2011,110886,Routine Service,Oil Change,
5/19/2011,105243,Routine Service,"Oil Change, Air Filter",
1/11/2011,100394,Routine Service,"Power Steering Flush, Brake Fluid Flush",
1/11/2011,100394,Routine Service,Oil Change,
8/5/2010,95016,Routine Service,Oil Change,
3/9/2010,90000,Routine Service,"Air Filter, Flush ATF & Coolant, PCV Valve, Rotate Tires, Spark Plugs, Water Pump, Timing Belt, Accessory Belt",
12/15/2009,86596,Routine Service,Oil Change,
8/19/2009,81933,Routine Service,Oil Change,
7/28/2009,81002,Antenna,Antenna,
4/21/2009,77679,Routine Service,Oil Change,
1/14/2009,74036,Routine Service,Oil Change,
9/30/2008,70425,Routine Service,Oil Change,
7/17/2008,67535,Routine Service,Oil Change,
4/14/2008,63397,Brakes,"Rear Brake Pads, Resurface Rear Rotors",
4/9/2008,63172,Routine Service,Oil Change,
2/5/2008,60193,Routine Service,"Air Filter, Flush ATF & Coolant, PCV Valve",
1/15/2008,59084,Routine Service,Oil Change,
10/4/2007,54639,Routine Service,Oil Change,
6/14/2007,50471,Routine Service,Oil Change,
1/4/2007,47027,Routine Service,Oil Change,
4/10/2006,45847,Routine Service,Oil Change,
9/1/2005,45021,Routine Service,"Oil Change, Tire Rotation, Air Filter",
9/2/2005,0,Special,Hood Protector SIE,
3/10/2005,43268,Routine Service,Oil Change,
11/22/2004,41380,Routine Service,Oil Change,
7/14/2004,32376,Routine Service,"Front Brake Pads, Resurfaced Front Rotors, New Key",